year,maker,model,color,trans,drivet,mileage,price,body_code
2015,Honda,Accord Sport,Gray,CVT,FWD,51323,15900,20211
2013,Mercedes-Benz,C250 Sport,White,Automatic,RWD,31338,14974,20211
2015,Honda,Accord Sport,Black,CVT,FWD,64477,14985,20211
2018,Toyota,Corolla LE,Other,CVT,FWD,30545,15985,20211
2014,Toyota,Camry LE,Gray,Automatic,FWD,47188,12981,20211
2017,Honda,Accord EX-L V6,Silver,Automatic,FWD,23318,21999,20211
2016,Hyundai,Sonata Hybrid Limited,Silver,Automatic,FWD,38294,17995,20211
2017,Subaru,WRX Premium,Gray,Manual,AWD,41686,20700,20211
2017,BMW,750 i xDrive,Black,Automatic,AWD,43345,50998,20211
2016,Acura,ILX 2.4L,White,Automanual,FWD,29648,16000,20211
2014,Mercedes-Benz,CLA250,Gray,Automanual,FWD,75235,15987,20211
2018,Toyota,Camry SE,White,Automatic,FWD,38368,19780,20211
2016,Mercedes-Benz,C 300,White,Automatic,RWD,31702,21750,20211
2016,Mercedes-Benz,E 350,White,Automatic,RWD,32820,26882,20211
2011,Mercedes-Benz,E 350,Black,Automatic,RWD,48441,16482,20211
2017,Audi,A4 2.0T Premium Plus,Black,Automatic,AWD,39570,25888,20211
2018,Audi,S3 2.0T Premium Plus,Blue,Automatic,AWD,1499,38995,20211
2011,Hyundai,Sonata SE,Black,Automatic,FWD,135525,7000,20211
2016,Lexus,LS 460 L,Black,Automatic,RWD,28434,44480,20211
2017,Buick,LaCrosse Essence,Red,Automatic,FWD,4421,25897,20211
2015,Chevrolet,Malibu 1LT,Silver,Automatic,FWD,44644,15387,20211
2015,Honda,Civic EX,Gray,CVT,FWD,23469,13900,20211
2016,Mercedes-Benz,C 300 Sport,Black,Automatic,RWD,41150,20700,20211
2017,Jaguar,XE 25t Premium,White,Automatic,RWD,48036,18500,20211
2017,Volkswagen,Passat 1.8T R-Line w/Comfort,Gray,Automatic,FWD,24539,17552,20211
2010,Toyota,Avalon XLS,White,Automatic,FWD,568,15995,20211
2015,Mercedes-Benz,S 550,Black,Automatic,RWD,41800,49999,20211
2019,Honda,Insight Touring,White,CVT,FWD,2700,24700,20211
2019,Dodge,Charger R/T,White,Automatic,RWD,9399,31489,20211
2015,Audi,A6 2.0T Premium Plus,White,CVT,FWD,54750,18998,20211
2018,Alfa,Romeo Giulia Quadrifoglio,Red,Automatic,RWD,8587,56499,20211
2016,Audi,A6 3.0T Prestige,Gray,Automatic,AWD,29633,35998,20211
2016,Kia,Optima LX,White,Automatic,FWD,30971,12950,20211
2015,Mazda,Mazda6 i Touring,White,Automatic,FWD,38155,16000,20211
2017,Chevrolet,Impala LS,Black,Automatic,FWD,55858,13320,20211
2014,Maserati,Ghibli S Q4,Blue,Automatic,AWD,39367,29660,20211
2016,Kia,Optima LX Turbo,Gray,Automatic,FWD,30142,14156,20211
2009,Audi,A4 2.0T Premium quattro,Gray,Automatic,AWD,146921,6999,20211
2017,Mercedes-Benz,E 300 Sport,Other,Automatic,RWD,43539,29995,20211
2016,Audi,A6 3.0T Prestige,Blue,Automatic,AWD,43843,30991,20211
2015,Honda,Accord EX-L,Silver,CVT,FWD,37768,17795,20211
2017,Dodge,Charger R/T,White,Automatic,RWD,28795,33591,20211
2019,Honda,Accord Sport,Silver,CVT,FWD,1046,23988,20211
2017,Honda,Accord Sport,Black,Manual,FWD,40472,17278,20211
2016,Toyota,Avalon XLE,Gray,Automatic,FWD,62179,16990,20211
2019,Chrysler,300 S,White,Automatic,RWD,23727,23489,20211
2013,Honda,Accord LX,Black,CVT,FWD,129872,8995,20211
2013,BMW,650 Gran Coupe i xDrive,Black,Automatic,AWD,38627,31700,20211
2011,Cadillac,DTS,Red,Automatic,FWD,71690,13998,20211
2018,Genesis,G80 3.3T Sport,Black,Automatic,RWD,22037,38800,20211
2018,Mazda,Mazda6 Grand Touring Reserve,White,Automatic,FWD,1676,25396,20211
2015,BMW,M5 Base,Gray,Other,Unknown,47842,42820,20211
2017,Audi,A4 2.0T Premium Plus,Black,Automatic,AWD,35154,28309,20211
2016,Lexus,GS 350 F Sport,Gray,Automatic,RWD,28330,36588,20211
2017,Cadillac,XTS Luxury,Silver,Automatic,FWD,56367,18788,20211
2016,Hyundai,Sonata Sport,White,Automatic,FWD,64867,12500,20211
2016,Chrysler,300 Limited,White,Automatic,RWD,33078,17989,20211
2012,Mercedes-Benz,CLS 63 AMG,Gray,Automatic,RWD,69660,34990,20211
2018,Volkswagen,Passat 2.0T R-Line,Blue,Automatic,FWD,3163,19991,20211
2018,Genesis,G80 3.3T Sport,Red,Automatic,AWD,23660,41700,20211
2017,Honda,Accord EX,Silver,CVT,FWD,5637,19500,20211
2016,BMW,640 Gran Coupe i,Silver,Automatic,RWD,58837,29998,20211
2013,Mercedes-Benz,CLS 550,Black,Automatic,RWD,51315,23800,20211
2015,Toyota,Camry Hybrid XLE,White,CVT,FWD,67433,17384,20211
2017,Toyota,Corolla LE,Red,CVT,FWD,303199,15995,20211
2018,Jaguar,XJ XJ R-Sport,Black,Automatic,RWD,27110,39998,20211
2016,BMW,340 i,White,Automatic,RWD,20745,35000,20211
2018,Genesis,G80 3.8,Silver,Automatic,RWD,22848,31988,20211
2018,Honda,Accord EX-L,White,CVT,FWD,21466,23988,20211
2019,Chrysler,300 S,Black,Automatic,RWD,9128,29980,20211
2016,Mercedes-Benz,CLA 250 4MATIC,Other,Automatic,AWD,8794,26488,20211
2014,Nissan,Maxima S,Black,CVT,FWD,74000,13599,20211
2016,Ford,Fusion Energi SE Luxury,White,CVT,FWD,36427,14183,20211
2018,Genesis,G90 5.0L Ultimate,Black,Automatic,AWD,24989,49997,20211
2018,Hyundai,Sonata Hybrid Limited,Silver,Automatic,FWD,28,25900,20211
2017,Alfa,Romeo Giulia Ti,White,Automatic,RWD,23968,25600,20211
2017,BMW,330e iPerformance,Black,Automatic,RWD,26361,22500,20211
2018,Volvo,S90 T5 Momentum,Brown,Automatic,FWD,28,33995,20211
2016,Honda,Civic LX,Gray,CVT,FWD,38544,14681,20211
2017,Nissan,Altima 2.5 S,White,CVT,FWD,27958,15491,20211
2015,Audi,A3 1.8T Premium,White,Automatic,FWD,56750,14735,20211
2016,Cadillac,CTS Luxury Collection RWD,Silver,Automatic,RWD,39792,23494,20211
2016,Toyota,Avalon XLE,Black,Automatic,FWD,36213,18810,20211
2016,Mercedes-Benz,C 300,Black,Automatic,RWD,31606,22980,20211
2018,Dodge,Charger R/T 392,Black,Automatic,RWD,24131,36999,20211
2017,Nissan,Altima 2.5 SV,Black,CVT,FWD,31976,14350,20211
2016,Hyundai,Sonata Hybrid SE,White,Automatic,FWD,39145,14789,20211
2016,Kia,Optima LX Turbo,White,Automatic,FWD,27439,16789,20211
2016,Kia,Cadenza SX Limited,Gray,Automatic,FWD,31302,19700,20211
2017,Alfa,Romeo Giulia Ti,Black,Automatic,RWD,29003,27790,20211
2014,Nissan,Altima 3.5 SL,Gray,CVT,FWD,132910,8982,20211
